what,kind,bundleId,bundleVersion,description,time
started,bundle,com.aptana.editor.css.formatter,3.0.0.1357340380,"com.aptana.editor.css.formatter",1411627097768
started,bundle,com.aptana.editor.css,3.1.0.1357340380,"com.aptana.editor.css",1411627097783
started,bundle,com.aptana.jetty.util.epl,3.0.0.1337703431,"com.aptana.jetty.util.epl",1411627097784
started,bundle,com.aptana.editor.ruby.formatter.epl,3.0.2.1346879409,"com.aptana.editor.ruby.formatter.epl",1411627097785
started,bundle,com.aptana.editor.ruby,3.0.3.1337406325,"com.aptana.editor.ruby",1411627097787
started,bundle,com.aptana.editor.js.formatter,3.0.3.1353527087,"com.aptana.editor.js.formatter",1411627097790
started,bundle,com.aptana.editor.js,3.0.3.1367525200,"com.aptana.editor.js",1411627097804
started,bundle,com.aptana.editor.xml.formatter,3.0.0.1354813217,"com.aptana.editor.xml.formatter",1411627097814
started,bundle,com.aptana.editor.xml,3.0.0.1364002257,"com.aptana.editor.xml",1411627097815
started,bundle,com.aptana.ui.epl,3.0.0.1368752364,"com.aptana.ui.epl",1411627097951
started,bundle,com.aptana.css.core,1.0.0.1364100898,"com.aptana.css.core",1411627097991
started,bundle,com.aptana.js.core,3.0.0.1369795575,"com.aptana.js.core",1411627098234
started,bundle,com.aptana.xml.core,1.0.0.1355240900,"com.aptana.xml.core",1411627098297
started,bundle,com.aptana.editor.svg,3.0.3.1357571277,"com.aptana.editor.svg",1411627098299
started,bundle,com.aptana.dtd.core,1.0.0.1355238609,"com.aptana.dtd.core",1411627098351
started,bundle,com.aptana.json.core,1.0.0.1357952606,"com.aptana.json.core",1411627098485
started,bundle,com.aptana.ruby.core,3.0.2.1365787616,"com.aptana.ruby.core",1411627098645
started,bundle,com.aptana.editor.dtd,3.0.0.1354746625,"com.aptana.editor.dtd",1411627098666
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20110506,"org.eclipse.ui.externaltools",1411627119625
started,bundle,org.eclipse.core.externaltools,1.0.100.v20110506,"org.eclipse.core.externaltools",1411627119664
started,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20110305-1450,"org.eclipse.jdt.apt.ui",1411627142494
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411627155610
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.properties",1411627155657
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411627163550
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411627165027
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411627188130
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411627210100
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411627234720
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411627234869
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411627284032
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411627284190
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1411627286375
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1411627332470
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411627358197
